,values
0,0.004065965297624551
1,0.34746092234314097
2,0.05208585897945228
3,0.1780403623269031
4,0.2879668410719158
5,0.23279363552567783
6,0.036571868469807055
7,0.10237569409274486
8,0.06856583515839532
9,0.08824060784761548
10,0.07529545732886371
11,0.1652133724796349
12,0.3741579461287062
13,0.510683698156338
14,0.15481309732027346
15,0.04845311812799495
16,0.2116611963197199
17,0.010038622205825718
18,0.13041461400070123
19,0.0016413340451899878
20,0.822302449851015
21,0.011627859757786052
22,0.04968484799546853
23,0.02556661146314306
24,0.11242083712410547
25,0.009864349988782887
26,0.01554602421079217
27,0.004619577548122196
28,0.011743300130790904
29,0.0062407991094040795
30,0.04126870561219428
31,0.08461313820268065
32,0.4137127974549726
33,0.176719173203816
34,0.03240459013163062
35,0.2967448268124145
36,0.1471201845984434
37,0.8427045463801021
38,0.6776138617477461
39,0.0049329085070058416
40,0.006444232951428855
41,0.2852198440801229
42,0.03446740078325207
43,0.028391878982121567
44,0.058836310781892845
45,0.9808200721072714
46,0.6372544894524536
47,0.16993959329244568
48,0.02243797759692335
49,0.38245160012401297
50,0.02593707380052911
51,0.012614913315043797
52,0.0009735015365342209
53,0.15593258743313348
54,0.008400315915587594
55,0.20165229331092802
56,0.006526322996672451
57,0.10966263483392824
58,0.018505308175419122
59,0.008954226196260377
60,0.18574567306086384
61,0.47246665108540686
62,0.14328457081320564
63,0.48843393412057895
64,0.008017332874758623
65,0.19340656302068765
66,0.23567261880422272
67,0.20069160368581804
68,0.6038414783373549
69,0.777088076520859
70,0.016071859506377368
71,0.01862069818787427
72,0.03028569890671593
73,0.015089577193587455
74,0.003748268317924394
75,0.20164743379319647
76,0.02228732321981003
77,0.6330744524831438
78,0.30005237556377407
79,0.03875350059345274
80,0.057136732100456236
81,0.1488520635691577
82,0.06297195137820517
83,0.05962928199203819
84,0.04311419861856093
85,0.028291744353369702
86,0.0771026182071656
87,0.015474979384223816
88,0.0203778845847315
89,0.15179806998763126
90,0.0003276020190363956
91,0.002194031593121109
92,0.019808888283935955
93,0.03571984137115307
94,0.015077371837386949
95,0.02009226852270918
96,0.07014421369102761
97,0.2138985810693368
98,0.1238178541554362
99,0.0879660137465689
100,0.43303109126125905
101,0.03342314550572345
102,0.011696008626485191
103,0.0031673943066338776
104,0.07253956149311348
105,0.12330880545815281
106,0.06830445005849989
107,0.027830640011123738
108,0.04079615686526265
109,0.011763950538814053
110,0.8995342317560395
111,0.047991891649273914
112,0.09957909613601552
113,0.16758651933007912
114,0.0065810363653672046
115,0.14588631600054897
116,0.0016689468028180919
117,0.08359202658452461
118,0.2680696100970747
119,0.9097389148819983
120,0.04247042920976192
121,0.015498137107061882
122,0.01379565143776299
123,0.06966260225005859
124,0.03511927748701859
125,0.006817352062024093
126,0.6260622482609198
127,0.03161413496168761
128,0.002683825754198445
129,0.001381567462154696
130,0.0970631708260642
131,0.14023162140648865
132,0.005644256882649387
133,0.21957565724369194
134,0.16540040796819963
135,0.06062635542736352
136,0.05086129158920435
137,0.000947160412810014
138,0.10648493088734434
139,0.08284182371244839
140,0.013141664084814778
141,0.16136594168030105
142,0.06402661256573552
143,0.5118529991654615
144,0.04142581490696402
145,0.09886160858474694
146,0.012009284169901022
147,0.03565399131117279
148,0.04441293210142122
149,0.16178235965497118
150,0.13312013893434926
151,0.11684115374766044
152,0.1870910393288374
153,0.002450315320901257
154,0.01442084486526742
155,0.38748125477485573
156,0.05613923131648289
157,0.053949419051084205
158,0.01780611712338702
159,0.009677679631690398
160,0.005134153558319442
161,0.14639037357998533
162,0.6401640305075896
163,0.05706833625326659
164,0.007273842156980346
165,0.35800459025978176
166,0.0069607006769438875
167,0.09467898709049707
168,0.07261844973635413
169,0.082726665766963
170,0.23887065811721225
171,0.0429289124123376
172,0.07605807855004322
173,0.007090155014149567
174,0.08291100949076004
175,0.49276138812670534
176,0.7194813114886299
177,0.01023187604273332
178,0.06745272778886831
179,0.15273644755127833
180,0.2285696553992435
181,0.01696814798262438
182,0.008189121477071296
183,0.021409335461030205
184,0.04787407880520237
185,0.013776396698971887
186,0.24638859302476895
187,0.10986486485500017
188,0.021998992769010066
189,0.10642675390516414
190,0.026049291630218525
191,0.0040541819679112
192,0.08791679322016241
193,0.02214412068827032
194,0.00583109245680086
195,0.010678852953768917
196,0.007126992228597388
197,0.03000037424494173
198,0.01797990220590535
199,0.13061159237648443
200,0.050536808092992345
201,0.006693505718867848
202,0.011956775452729244
203,0.11533665348673239
204,0.012739462186479231
205,0.23335753123722086
206,0.01848534307822655
207,0.016115731853085936
208,0.42003533516280755
209,0.00868632070223209
210,0.5282079638836888
211,0.03940555524100876
212,0.27053583354051264
213,0.825788866972258
214,0.11161151488948087
215,0.020011243500105323
216,0.11891882912881398
217,0.01591789776229746
218,0.4980779239193465
219,0.2638545270483814
220,0.03936326208516148
221,0.049368357825052764
222,0.05772597250776412
223,0.018798939078756502
224,0.3337019202138765
225,0.05445843863467955
226,0.48921214194878154
227,0.011767296609482652
228,0.03784471436393788
229,0.0887793064140337
230,0.018970302501513405
231,0.010620649317056243
232,0.00548148320863301
233,0.027687099561496335
234,0.0025480630382648485
235,0.2748764155897513
236,0.09457468984518516
237,0.16236834549015255
238,0.05259792479399579
239,0.20964629226539216
240,0.01631845484266481
241,0.16564300366727885
242,0.018358703077557385
243,0.29408667501688546
244,0.06958954685733158
245,0.26430764656219263
246,0.1671310739788745
247,0.12069679884731917
248,0.15652038571998622
249,0.16783590607894283
250,0.03824839205277164
251,0.04324895845936766
252,0.04678063800284389
253,0.3008297304668255
254,0.00923104442520372
255,0.01569632266563661
256,0.0836428169889375
257,0.20518407265532662
258,0.04485556341858072
259,0.05685226263887412
260,0.11720308789473959
261,0.04019438003704882
262,0.006117350348908498
263,0.05405226143048334
264,0.01170306770083155
265,0.008855977322655587
266,0.24814108599241608
267,0.09417307965512116
268,0.2083138032528052
269,0.18421143001349977
270,0.016528779782822498
271,0.006901429425166486
272,0.09907530986689717
273,0.03171191233890288
274,0.42352574065088977
