,values
0,3.336558956055928e-10
1,0.029484618799289285
2,5.6919589205066066e-05
3,2.5940145138298285e-07
4,2.1824475684744839e-07
5,0.015161733818178504
6,0.015779285637327212
7,0.00028837122838910607
8,6.790177579906187e-05
9,5.938606583725355e-06
10,0.0006159764589152442
11,3.428425281914977e-07
12,0.9475577602619276
13,0.02326886719061911
14,0.03290920854428225
15,0.3068548063206415
16,3.8222687140734924e-05
17,1.8597254623173523e-10
18,5.502739926319675e-08
19,9.337184026070706e-07
20,4.398421802566847e-08
21,2.1053744122797135e-08
22,6.634171906307488e-05
23,2.479417564775638e-09
24,0.03128079710863844
25,6.3237486177450195e-06
26,9.41082759483293e-09
27,1.832988952370915e-09
28,4.113698803642689e-12
29,7.303933062946736e-09
30,0.21355469963996795
31,0.0025838449144741198
32,0.0002641975918017665
33,0.0036404904279686416
34,1.193892387242697e-06
35,0.04218760399752011
36,2.830097826164091e-06
37,0.00030033226755713226
38,0.9999999217436684
39,2.024391585908111e-09
40,1.6904495886994402e-09
41,8.919875056165701e-05
42,1.6482987750968715e-07
43,9.3358219539013e-07
44,1.1022031778806925e-05
45,0.9999999572636975
46,0.0011554397171584766
47,0.7027736191065626
48,4.237576462937417e-09
49,1.5324400558640298e-06
50,3.3438584287420935e-09
51,2.753305938644291e-08
52,4.888568528476095e-10
53,2.696374398190412e-10
54,1.772651908924509e-06
55,0.0002327795188837455
56,9.930521830833434e-13
57,3.0709500704912306e-05
58,5.483408401644723e-06
59,1.128678188212662e-09
60,1.0315758147269944e-08
61,2.44175751093263e-06
62,7.67739979628508e-08
63,0.999983560626117
64,4.642084326766181e-05
65,0.7151379474555363
66,2.9651403750821387e-06
67,4.553119309236996e-07
68,0.8515301141494426
69,0.9887895213318176
70,1.5956715221432278e-11
71,2.777945271027475e-08
72,6.475279313217463e-10
73,6.566501802516143e-05
74,8.71659574188824e-12
75,1.251617887274023e-07
76,1.4953346410397018e-10
77,0.999990133974916
78,0.0008096597747828866
79,1.0998848388608857e-08
80,8.461882999840651e-09
81,0.004991506609081277
82,0.0005332220057319082
83,0.00360257184968854
84,0.013766164617846377
85,1.3017006778061443e-07
86,4.549935875558673e-06
87,2.8684451720960423e-09
88,1.7553594212518426e-05
89,5.266802664363414e-09
90,6.138475457902445e-08
91,3.135170139480788e-07
92,6.402776390048313e-11
93,7.430306290355142e-05
94,5.169660718787643e-08
95,3.08176029076988e-07
96,0.03841325598406757
97,0.5847530340397364
98,0.0007955540962678675
99,2.9934797035044153e-06
100,0.0005689312677001791
101,6.57178008272418e-09
102,3.962247805075769e-11
103,6.59446504701965e-09
104,2.7614630183575834e-11
105,9.953784279628432e-08
106,2.0030806768874867e-05
107,6.655339118315542e-08
108,3.392674908553475e-07
109,3.817707290441295e-09
110,0.9999991608953106
111,2.369885276974689e-10
112,0.03248766758286964
113,2.634532559306868e-06
114,1.1496889869367702e-10
115,0.01966349264590497
116,1.2824729802924807e-14
117,1.688896129823935e-06
118,0.12154680490309139
119,0.9999601103497512
120,8.91814122390879e-07
121,1.9124223801899498e-07
122,5.690218276472571e-11
123,0.004819532587240121
124,0.0002419011418582378
125,2.557954589874786e-09
126,0.9975605807728098
127,2.747732167492326e-09
128,1.0670243789097945e-08
129,1.413422867221303e-15
130,6.212461044612465e-08
131,1.2430675244168668e-07
132,6.066572918288744e-14
133,0.00010588894450222056
134,3.055329743404236e-05
135,0.0014374568648345021
136,1.043632280573651e-08
137,1.0509333162636292e-06
138,0.08395013029387217
139,1.957840852736532e-05
140,3.4593846600893004e-08
141,0.009505173758350615
142,3.2122077114133537e-08
143,1.4670251294886647e-07
144,8.41239339974273e-05
145,0.0023601894977533836
146,4.118616259244488e-07
147,3.058220519846767e-05
148,9.892166394930285e-09
149,0.47234362185954587
150,2.422736811117502e-05
151,9.34227585214674e-05
152,0.5645410993289522
153,3.169540702073773e-10
154,6.103911066211198e-10
155,0.0015897144431338678
156,2.0572560264590787e-11
157,0.00037156097632717335
158,3.326278976659319e-08
159,1.3928961741137112e-12
160,9.643883349167216e-11
161,0.1028209343340217
162,0.9956445670013854
163,4.067940267859723e-07
164,1.6633215715733798e-07
165,0.9946167418642075
166,3.2126485501862066e-09
167,0.36166436391144907
168,6.647796559340884e-07
169,4.9329958767438144e-05
170,0.033727188390687064
171,3.5616804936640575e-05
172,0.017099593630885684
173,2.6979812628551853e-11
174,3.0379143216372495e-06
175,0.5650322640657278
176,0.02409628919909724
177,4.1808429581788227e-07
178,0.00021371679937028445
179,2.499164479447751e-05
180,0.00016051885896673133
181,3.2704949242904845e-06
182,1.2180899852577518e-12
183,5.648194778911046e-07
184,3.7472644930741988e-06
185,6.052068451322923e-09
186,0.015654486151388335
187,6.900833094157074e-08
188,3.895193555199427e-07
189,0.41442069751582394
190,2.5573493168553573e-08
191,2.4116803161940323e-09
192,2.2926917639426117e-06
193,1.1199665364362259e-12
194,2.0119634994296536e-09
195,3.7572489961392394e-11
196,2.16617664265026e-11
197,5.5149387166431076e-08
198,1.098063748894644e-05
199,1.6683243926291424e-08
200,2.5037917450285775e-07
201,2.4951053107018256e-12
202,4.776547423248777e-07
203,2.479787057623746e-08
204,8.657991610675522e-12
205,0.9095549624893652
206,1.118042870648693e-08
207,3.122212857435303e-11
208,0.0022218068052483357
209,5.656792020674517e-07
210,0.028615634455202623
211,1.148599258748905e-09
212,4.659784463317617e-05
213,0.9998634443056009
214,9.06261462513326e-13
215,1.659359064057773e-06
216,4.520582665745188e-06
217,7.323708832924305e-06
218,0.8964319911683419
219,0.14715630610815159
220,4.2485695693263466e-10
221,0.32939537424373255
222,0.006062907045159384
223,2.1629331415645453e-06
224,7.15310494810258e-08
225,5.980617617548259e-07
226,0.06702464709798214
227,2.8784442139672647e-09
228,2.0628496430820112e-07
229,2.384195444072173e-07
230,0.0006405301833961247
231,9.408703275380583e-13
232,1.5735037933992137e-09
233,1.1740860643286541e-11
234,1.0317230523240797e-10
235,0.8029513529474264
236,3.1648958009285765e-05
237,0.00034105321597131637
238,0.0011081178117500709
239,0.0008748413460248765
240,1.7247343016850995e-08
241,0.998436272635103
242,5.025247918582453e-09
243,0.0020034997060544403
244,6.489383715548259e-10
245,0.7309830266305861
246,0.0005522967807942477
247,2.7466456195914075e-07
248,0.00013700236150434146
249,0.0023076052418757403
250,1.4507819153192272e-05
251,0.0009752490385166727
252,9.329749317730082e-05
253,1.7031152681870096e-06
254,2.942251320909197e-06
255,1.0705524104633736e-08
256,1.8603432823438054e-08
257,0.6768297855428298
258,0.002720535329923687
259,0.0003110579561641716
260,0.0004415170451184024
261,9.693085299900335e-08
262,1.5589147894584873e-07
263,4.2717853522851196e-05
264,4.6912341272717205e-14
265,4.460025170836547e-09
266,0.987226633228378
267,6.4555548955377525e-06
268,8.826405850465111e-05
269,0.9987695302372017
270,1.0557071798551042e-08
271,5.841094031137073e-11
272,1.2610408483284124e-08
273,4.4228079201648296e-05
274,0.12701761992044946
275,0.8526046262035887
276,0.881553127866701
277,1.4224364324734335e-09
278,2.2603515622885318e-08
279,5.8855032944171914e-12
280,1.1277595140972457e-05
281,0.008121444415446875
282,9.070240425601147e-11
283,0.00459035713918382
284,0.00010758452126863361
285,1.1551114328041092e-05
286,6.383976888923633e-10
287,1.1342704010007948e-10
288,2.5321696242755026e-06
289,5.186247481156528e-05
290,0.7840389780420592
291,0.0031372326172006536
292,0.0006898049221242468
293,4.257228951496681e-09
294,6.90743110879836e-07
295,6.612721004042013e-06
296,3.4547365111819432e-06
297,2.6628093378686044e-06
298,3.4330608750555604e-10
